LAMMPS data file via write_data, version 7 Aug 2019, timestep = 8092000

3303 atoms
2 atom types

0.0000000000000000e+00 2.3000000000000000e+01 xlo xhi
0.0000000000000000e+00 2.3000000000000000e+01 ylo yhi
0.0000000000000000e+00 1.2000000000000000e+02 zlo zhi

Masses

1 28
2 12

Atoms # atomic

5 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
6 1 1.9200423982948915e+00 1.9200423982948915e+00 2.7153499999999999e+00 0 0 0
8 1 1.9200423982948915e+00 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
7 1 3.8400847965897831e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
10 1 5.7601271948846744e+00 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
22 1 5.7601271948846744e+00 1.9200423982948915e+00 2.7153499999999999e+00 0 0 0
28 1 7.6801695931795662e+00 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
29 1 9.6002119914744579e+00 1.9200423982948913e+00 2.7153499999999999e+00 0 0 0
31 1 9.6002119914744579e+00 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
30 1 1.1520254389769349e+01 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
33 1 1.3440296788064241e+01 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
46 1 1.3440296788064241e+01 1.9200423982948918e+00 2.7153499999999999e+00 0 0 0
52 1 1.5360339186359132e+01 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
53 1 1.7280381584654023e+01 1.9200423982948918e+00 2.7153499999999999e+00 0 0 0
55 1 1.7280381584654027e+01 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
54 1 1.9200423982948916e+01 0.0000000000000000e+00 0.0000000000000000e+00 0 0 0
57 1 2.1120466381243808e+01 0.0000000000000000e+00 1.3576750000000000e+00 0 0 0
70 1 2.1120466381243808e+01 1.9200423982948909e+00 2.7153499999999999e+00 0 0 0
1 1 0.0000000000000000e+00 3.8400847965897831e+00 0.0000000000000000e+00 0 0 0
4 1 1.9200423982948913e+00 3.8400847965897831e+00 1.3576750000000000e+00 0 0 0
